name,n_depots,n_required_edges,n_nodes,lb_opt_1,lb_opt_2,lb_opt,sol_1,sol2,sol,approx,ub_approx
2_10_0,2,10,22,1166.89,1166.89,1166.89,2092,2134,2092,1.7928,1.8,
2_10_1,2,10,22,918.222,918.222,918.222,1639,1708,1639,1.78497,1.8,
2_10_2,2,10,22,1062.22,1062.22,1062.22,1900,1960,1900,1.7887,1.8,
2_10_3,2,10,22,1143.11,1143.11,1143.11,2046,2104,2046,1.78985,1.8,
2_10_4,2,10,22,854.889,854.889,854.889,1524,1598,1524,1.78269,1.8,
2_10_5,2,10,22,1107.22,1107.22,1107.22,1962,2117,1962,1.772,1.8,
2_10_6,2,10,22,1010,1010,1010,1819,1814,1814,1.79604,1.8,
2_10_7,2,10,22,932.444,932.444,932.444,1655,1772,1655,1.7749,1.8,
2_10_8,2,10,22,1036.44,1036.44,1036.44,1850,1928,1850,1.78495,1.8,
2_10_9,2,10,22,803.111,803.111,803.111,1456,1404,1404,1.7482,1.8,
2_10_10,2,10,22,1101.78,1101.78,1101.78,1973,2024,1973,1.79074,1.8,
2_10_11,2,10,22,910,910,910,1659,1554,1554,1.70769,1.8,
2_10_12,2,10,22,1045.33,1045.33,1045.33,1877,1900,1877,1.7956,1.8,
2_10_13,2,10,22,815.222,815.222,815.222,1471,1453,1453,1.78234,1.8,
2_10_14,2,10,22,1056.22,1056.22,1056.22,1880,1986,1880,1.77993,1.8,
2_10_15,2,10,22,1034,1034,1034,1845,1926,1845,1.78433,1.8,
2_10_16,2,10,22,1045.78,1045.78,1045.78,1873,1920,1873,1.79101,1.8,
2_10_17,2,10,22,942.111,942.111,942.111,1717,1611,1611,1.70999,1.8,
2_10_18,2,10,22,1074.44,1074.44,1074.44,1912,2022,1912,1.77952,1.8,
2_10_19,2,10,22,1332.22,1332.22,1332.22,2387,2442,2387,1.79174,1.8,
2_10_20,2,10,22,1064.33,1064.33,1064.33,1902,1971,1902,1.78703,1.8,
2_10_21,2,10,22,1026.44,1026.44,1026.44,1835,1898,1835,1.78772,1.8,
2_10_22,2,10,22,1090.44,1090.44,1090.44,1919,2138,1919,1.75983,1.8,
2_10_23,2,10,22,1213.33,1213.33,1213.33,2169,2244,2169,1.78764,1.8,
2_10_24,2,10,22,876.667,876.667,876.667,1545,1710,1545,1.76236,1.8,
2_10_25,2,10,22,1059.78,1059.78,1059.78,1897,1950,1897,1.79,1.8,
2_10_26,2,10,22,753.333,753.333,753.333,1350,1380,1350,1.79204,1.8,
2_10_27,2,10,22,888.111,888.111,888.111,1617,1525,1525,1.71713,1.8,
2_10_28,2,10,22,1162.56,1162.56,1162.56,2101,2059,2059,1.7711,1.8,
2_10_29,2,10,22,1056.11,1056.11,1056.11,1880,1985,1880,1.78012,1.8,
2_10_30,2,10,22,1054.11,1054.11,1054.11,1853,2075,1853,1.75788,1.8,
2_10_31,2,10,22,1247.78,1247.78,1247.78,2226,2326,2226,1.78397,1.8,
2_10_32,2,10,22,1048.44,1048.44,1048.44,1872,1948,1872,1.7855,1.8,
2_10_33,2,10,22,787.778,787.778,787.778,1408,1458,1408,1.78731,1.8,
2_10_34,2,10,22,959,959,959,1710,1791,1710,1.78311,1.8,
2_10_35,2,10,22,1007.44,1007.44,1007.44,1797,1879,1797,1.78372,1.8,
2_10_36,2,10,22,940.667,940.667,940.667,1671,1782,1671,1.7764,1.8,
2_10_37,2,10,22,1118.22,1118.22,1118.22,1998,2072,1998,1.78676,1.8,
2_10_38,2,10,22,1088.11,1088.11,1088.11,1911,2149,1911,1.75625,1.8,
2_10_39,2,10,22,751.778,751.778,751.778,1336,1422,1336,1.77712,1.8,
2_10_40,2,10,22,1177.11,1177.11,1177.11,2101,2190,2101,1.78488,1.8,
2_10_41,2,10,22,1016.44,1016.44,1016.44,1799,1952,1799,1.7699,1.8,
2_10_42,2,10,22,809.556,809.556,809.556,1459,1450,1450,1.79111,1.8,
2_10_43,2,10,22,938.889,938.889,938.889,1669,1774,1669,1.77763,1.8,
2_10_44,2,10,22,802.667,802.667,802.667,1429,1508,1429,1.78032,1.8,
2_10_45,2,10,22,1032.89,1032.89,1032.89,1835,1956,1835,1.77657,1.8,
2_10_46,2,10,22,873.222,873.222,873.222,1562,1611,1562,1.78878,1.8,
2_10_47,2,10,22,879.444,879.444,879.444,1600,1515,1515,1.72268,1.8,
2_10_48,2,10,22,1020,1020,1020,1820,1900,1820,1.78431,1.8,
2_10_49,2,10,22,833.444,833.444,833.444,1491,1537,1491,1.78896,1.8,
2_10_50,2,10,22,923.111,923.111,923.111,1639,1752,1639,1.77552,1.8,
2_10_51,2,10,22,1061.67,1061.67,1061.67,1898,1963,1898,1.78776,1.8,
2_10_52,2,10,22,956.667,956.667,956.667,1704,1794,1704,1.78118,1.8,
2_10_53,2,10,22,1091.78,1091.78,1091.78,1965,1966,1965,1.79982,1.8,
2_10_54,2,10,22,1062.44,1062.44,1062.44,1889,2006,1889,1.77798,1.8,
2_10_55,2,10,22,1010.33,1010.33,1010.33,1803,1881,1803,1.78456,1.8,
2_10_56,2,10,22,1066.44,1066.44,1066.44,1901,1994,1901,1.78256,1.8,
2_10_57,2,10,22,1023.78,1023.78,1023.78,1824,1918,1824,1.78164,1.8,
2_10_58,2,10,22,896,896,896,1594,1688,1594,1.77902,1.8,
2_10_59,2,10,22,1072.44,1072.44,1072.44,1914,1996,1914,1.78471,1.8,
2_10_60,2,10,22,1006.56,1006.56,1006.56,1783,1927,1783,1.77139,1.8,
2_10_61,2,10,22,803.222,803.222,803.222,1424,1533,1424,1.77286,1.8,
2_10_62,2,10,22,982,982,982,1749,1842,1749,1.78106,1.8,
2_10_63,2,10,22,863.556,863.556,863.556,1522,1684,1522,1.76248,1.8,
2_10_64,2,10,22,979.667,979.667,979.667,1746,1833,1746,1.78224,1.8,
2_10_65,2,10,22,969.111,969.111,969.111,1707,1894,1707,1.76141,1.8,
2_10_66,2,10,22,1147.11,1147.11,1147.11,2053,2112,2053,1.78971,1.8,
2_10_67,2,10,22,944.889,944.889,944.889,1684,1768,1684,1.78222,1.8,
2_10_68,2,10,22,1131.11,1131.11,1131.11,2014,2124,2014,1.78055,1.8,
2_10_69,2,10,22,865.778,865.778,865.778,1549,1596,1549,1.78914,1.8,
2_10_70,2,10,22,1151.78,1151.78,1151.78,2034,2230,2034,1.76597,1.8,
2_10_71,2,10,22,1272.33,1272.33,1272.33,2285,2311,2285,1.79591,1.8,
2_10_72,2,10,22,972.778,972.778,972.778,1786,1611,1611,1.65608,1.8,
2_10_73,2,10,22,870.222,870.222,870.222,1547,1644,1547,1.77771,1.8,
2_10_74,2,10,22,1050.44,1050.44,1050.44,1876,1950,1876,1.78591,1.8,
2_10_75,2,10,22,1064,1064,1064,1946,1792,1792,1.68421,1.8,
2_10_76,2,10,22,1066.89,1066.89,1066.89,1896,2018,1896,1.77713,1.8,
2_10_77,2,10,22,1184.44,1184.44,1184.44,2101,2256,2101,1.77383,1.8,
2_10_78,2,10,22,1023.33,1023.33,1023.33,1827,1902,1827,1.78534,1.8,
2_10_79,2,10,22,862,862,862,1542,1590,1542,1.78886,1.8,
2_10_80,2,10,22,888.444,888.444,888.444,1580,1676,1580,1.77839,1.8,
2_10_81,2,10,22,997.111,997.111,997.111,1784,1838,1784,1.78917,1.8,
2_10_82,2,10,22,897.222,897.222,897.222,1611,1631,1611,1.79554,1.8,
2_10_83,2,10,22,827.222,827.222,827.222,1463,1593,1463,1.76857,1.8,
2_10_84,2,10,22,1051.78,1051.78,1051.78,1882,1938,1882,1.78935,1.8,
2_10_85,2,10,22,926.222,926.222,926.222,1616,1872,1616,1.74472,1.8,
2_10_86,2,10,22,1105.78,1105.78,1105.78,1980,2032,1980,1.79059,1.8,
2_10_87,2,10,22,945.778,945.778,945.778,1714,1656,1656,1.75094,1.8,
2_10_88,2,10,22,1031.33,1031.33,1031.33,1835,1942,1835,1.77925,1.8,
2_10_89,2,10,22,858.333,858.333,858.333,1526,1621,1526,1.77786,1.8,
2_10_90,2,10,22,1162.56,1162.56,1162.56,2078,2151,2078,1.78744,1.8,
2_10_91,2,10,22,1047.11,1047.11,1047.11,1835,2084,1835,1.75244,1.8,
2_10_92,2,10,22,1195.78,1195.78,1195.78,2152,2154,2152,1.79967,1.8,
2_10_93,2,10,22,1143.78,1143.78,1143.78,2074,1998,1998,1.74684,1.8,
2_10_94,2,10,22,1052.33,1052.33,1052.33,1892,1903,1892,1.79791,1.8,
2_10_95,2,10,22,890,890,890,1592,1642,1592,1.78876,1.8,
2_10_96,2,10,22,1332.89,1332.89,1332.89,2385,2456,2385,1.78935,1.8,
2_10_97,2,10,22,1168,1168,1168,2037,2364,2037,1.74401,1.8,
2_10_98,2,10,22,1202.33,1202.33,1202.33,2156,2197,2156,1.79318,1.8,
2_10_99,2,10,22,1147.33,1147.33,1147.33,2055,2106,2055,1.79111,1.8,
2_20_0,2,20,42,1828,1828,1828,3272,3364,3272,1.78993,1.8,
2_20_1,2,20,42,2290.89,2290.89,2290.89,4105,4198,4105,1.79188,1.8,
2_20_2,2,20,42,2431.11,2431.11,2431.11,4329,4564,4329,1.78067,1.8,
2_20_3,2,20,42,2305.11,2305.11,2305.11,4133,4214,4133,1.79297,1.8,
2_20_4,2,20,42,1637.22,1637.22,1637.22,2968,2863,2863,1.74869,1.8,
2_20_5,2,20,42,2014,2014,2014,3585,3786,3585,1.78004,1.8,
2_20_6,2,20,42,1909.33,1909.33,1909.33,3406,3560,3406,1.78387,1.8,
2_20_7,2,20,42,1884.67,1884.67,1884.67,3378,3450,3378,1.79236,1.8,
2_20_8,2,20,42,1735.56,1735.56,1735.56,3161,2976,2976,1.71472,1.8,
2_20_9,2,20,42,1907,1907,1907,3452,3355,3355,1.75931,1.8,
2_20_10,2,20,42,2057.78,2057.78,2057.78,3700,3720,3700,1.79806,1.8,
2_20_11,2,20,42,2064.78,2064.78,2064.78,3724,3687,3687,1.78566,1.8,
2_20_12,2,20,42,1644.56,1644.56,1644.56,2941,3037,2941,1.78833,1.8,
2_20_13,2,20,42,1845.22,1845.22,1845.22,3355,3187,3187,1.72716,1.8,
2_20_14,2,20,42,2019.89,2019.89,2019.89,3602,3771,3602,1.78327,1.8,
2_20_15,2,20,42,2177.11,2177.11,2177.11,3910,3954,3910,1.79596,1.8,
2_20_16,2,20,42,1835.11,1835.11,1835.11,3285,3376,3285,1.79008,1.8,
2_20_17,2,20,42,2175,2175,2175,3889,4019,3889,1.78805,1.8,
2_20_18,2,20,42,2000.56,2000.56,2000.56,3619,3529,3529,1.76401,1.8,
2_20_19,2,20,42,1945.11,1945.11,1945.11,3507,3478,3478,1.78807,1.8,
2_20_20,2,20,42,2032.22,2032.22,2032.22,3627,3782,3627,1.78475,1.8,
2_20_21,2,20,42,2214.33,2214.33,2214.33,3923,4237,3923,1.77164,1.8,
2_20_22,2,20,42,1718.78,1718.78,1718.78,3064,3213,3064,1.78266,1.8,
2_20_23,2,20,42,2250.78,2250.78,2250.78,3995,4277,3995,1.77494,1.8,
2_20_24,2,20,42,1980.56,1980.56,1980.56,3517,3757,3517,1.77576,1.8,
2_20_25,2,20,42,1915.78,1915.78,1915.78,3492,3274,3274,1.70897,1.8,
2_20_26,2,20,42,2020.78,2020.78,2020.78,3637,3639,3637,1.7998,1.8,
2_20_27,2,20,42,2248,2248,2248,4026,4128,4026,1.79093,1.8,
2_20_28,2,20,42,1943.67,1943.67,1943.67,3477,3585,3477,1.78889,1.8,
2_20_29,2,20,42,2250.89,2250.89,2250.89,4095,3878,3878,1.72287,1.8,
2_20_30,2,20,42,1743,1743,1743,3139,3131,3131,1.79633,1.8,
2_20_31,2,20,42,2113.78,2113.78,2113.78,3783,3892,3783,1.78969,1.8,
2_20_32,2,20,42,2466.22,2466.22,2466.22,4442,4428,4428,1.79546,1.8,
2_20_33,2,20,42,2302.11,2302.11,2302.11,4113,4267,4113,1.78662,1.8,
2_20_34,2,20,42,2279.89,2279.89,2279.89,4109,4083,4083,1.79088,1.8,
2_20_35,2,20,42,1429.56,1429.56,1429.56,2542,2698,2542,1.77818,1.8,
2_20_36,2,20,42,2058.67,2058.67,2058.67,3751,3524,3524,1.71179,1.8,
2_20_37,2,20,42,2124.67,2124.67,2124.67,3795,3942,3795,1.78616,1.8,
2_20_38,2,20,42,1908.22,1908.22,1908.22,3461,3330,3330,1.74508,1.8,
2_20_39,2,20,42,2185.78,2185.78,2185.78,3885,4132,3885,1.7774,1.8,
2_20_40,2,20,42,2037,2037,2037,3671,3649,3649,1.79136,1.8,
2_20_41,2,20,42,1883.44,1883.44,1883.44,3396,3367,3367,1.78768,1.8,
2_20_42,2,20,42,1779.56,1779.56,1779.56,3164,3360,3164,1.77797,1.8,
2_20_43,2,20,42,2041.22,2041.22,2041.22,3688,3619,3619,1.77296,1.8,
2_20_44,2,20,42,1994.56,1994.56,1994.56,3609,3515,3515,1.7623,1.8,
2_20_45,2,20,42,1699.67,1699.67,1699.67,3061,3053,3053,1.79623,1.8,
2_20_46,2,20,42,2208.44,2208.44,2208.44,3974,3980,3974,1.79946,1.8,
2_20_47,2,20,42,1890.78,1890.78,1890.78,3398,3425,3398,1.79714,1.8,
2_20_48,2,20,42,1950.89,1950.89,1950.89,3475,3658,3475,1.78124,1.8,
2_20_49,2,20,42,1587.33,1587.33,1587.33,2847,2898,2847,1.79357,1.8,
2_20_50,2,20,42,1908.89,1908.89,1908.89,3444,3404,3404,1.78324,1.8,
2_20_51,2,20,42,2029.22,2029.22,2029.22,3648,3671,3648,1.79773,1.8,
2_20_52,2,20,42,1987.56,1987.56,1987.56,3568,3616,3568,1.79517,1.8,
2_20_53,2,20,42,1963,1963,1963,3508,3635,3508,1.78706,1.8,
2_20_54,2,20,42,2005.67,2005.67,2005.67,3582,3723,3582,1.78594,1.8,
2_20_55,2,20,42,1711.56,1711.56,1711.56,3056,3180,3056,1.78551,1.8,
2_20_56,2,20,42,1986.44,1986.44,1986.44,3653,3266,3266,1.64414,1.8,
2_20_57,2,20,42,1769,1769,1769,3125,3421,3125,1.76653,1.8,
2_20_58,2,20,42,1933.56,1933.56,1933.56,3464,3546,3464,1.79152,1.8,
2_20_59,2,20,42,1548.22,1548.22,1548.22,2754,2918,2754,1.77881,1.8,
2_20_60,2,20,42,1755.22,1755.22,1755.22,3155,3177,3155,1.79749,1.8,
2_20_61,2,20,42,1893.33,1893.33,1893.33,3389,3484,3389,1.78996,1.8,
2_20_62,2,20,42,2229.33,2229.33,2229.33,3986,4120,3986,1.78798,1.8,
2_20_63,2,20,42,1982.44,1982.44,1982.44,3593,3470,3470,1.75036,1.8,
2_20_64,2,20,42,2015.33,2015.33,2015.33,3569,3862,3569,1.77092,1.8,
2_20_65,2,20,42,1962.89,1962.89,1962.89,3566,3402,3402,1.73316,1.8,
2_20_66,2,20,42,1807.44,1807.44,1807.44,3265,3207,3207,1.77433,1.8,
2_20_67,2,20,42,1688.22,1688.22,1688.22,3028,3082,3028,1.7936,1.8,
2_20_68,2,20,42,2109.78,2109.78,2109.78,3775,3888,3775,1.78929,1.8,
2_20_69,2,20,42,1833.11,1833.11,1833.11,3298,3306,3298,1.79913,1.8,
2_20_70,2,20,42,1976.44,1976.44,1976.44,3575,3488,3488,1.76479,1.8,
2_20_71,2,20,42,1800.44,1800.44,1800.44,3214,3348,3214,1.78511,1.8,
2_20_72,2,20,42,1785.78,1785.78,1785.78,3264,3016,3016,1.6889,1.8,
2_20_73,2,20,42,2193.56,2193.56,2193.56,3937,3994,3937,1.7948,1.8,
2_20_74,2,20,42,1846.89,1846.89,1846.89,3334,3286,3286,1.77921,1.8,
2_20_75,2,20,42,1967.56,1967.56,1967.56,3576,3404,3404,1.73007,1.8,
2_20_76,2,20,42,2165.22,2165.22,2165.22,3903,3875,3875,1.78965,1.8,
2_20_77,2,20,42,1908.56,1908.56,1908.56,3423,3485,3423,1.7935,1.8,
2_20_78,2,20,42,2187.56,2187.56,2187.56,3942,3920,3920,1.79195,1.8,
2_20_79,2,20,42,2258.22,2258.22,2258.22,4033,4192,4033,1.78592,1.8,
2_20_80,2,20,42,2234,2234,2234,3970,4226,3970,1.77708,1.8,
2_20_81,2,20,42,2054.44,2054.44,2054.44,3660,3850,3660,1.7815,1.8,
2_20_82,2,20,42,2027,2027,2027,3667,3575,3575,1.76369,1.8,
2_20_83,2,20,42,2078.44,2078.44,2078.44,3709,3870,3709,1.78451,1.8,
2_20_84,2,20,42,1623.33,1623.33,1623.33,2912,2962,2912,1.79384,1.8,
2_20_85,2,20,42,2152.22,2152.22,2152.22,3828,4058,3828,1.77863,1.8,
2_20_86,2,20,42,1982.56,1982.56,1982.56,3543,3671,3543,1.78709,1.8,
2_20_87,2,20,42,2066.89,2066.89,2066.89,3746,3618,3618,1.75046,1.8,
2_20_88,2,20,42,2308,2308,2308,4129,4256,4129,1.78899,1.8,
2_20_89,2,20,42,2130.33,2130.33,2130.33,3864,3717,3717,1.7448,1.8,
2_20_90,2,20,42,1876.33,1876.33,1876.33,3401,3283,3283,1.74969,1.8,
2_20_91,2,20,42,1871.11,1871.11,1871.11,3380,3320,3320,1.77435,1.8,
2_20_92,2,20,42,1893.56,1893.56,1893.56,3423,3350,3350,1.76916,1.8,
2_20_93,2,20,42,1741.67,1741.67,1741.67,3132,3147,3132,1.79828,1.8,
2_20_94,2,20,42,1936.67,1936.67,1936.67,3449,3634,3449,1.7809,1.8,
2_20_95,2,20,42,2380,2380,2380,4255,4400,4255,1.78782,1.8,
2_20_96,2,20,42,2292.11,2292.11,2292.11,4117,4161,4117,1.79616,1.8,
2_20_97,2,20,42,1925.33,1925.33,1925.33,3435,3588,3435,1.78411,1.8,
2_20_98,2,20,42,1833.78,1833.78,1833.78,3317,3236,3236,1.76466,1.8,
2_20_99,2,20,42,2018.44,2018.44,2018.44,3641,3602,3602,1.78454,1.8,
2_40_0,2,40,82,4036,4036,4036,7256,7300,7256,1.79782,1.8,
2_40_1,2,40,82,3695,3695,3695,6600,6855,6600,1.7862,1.8,
2_40_2,2,40,82,3890.33,3890.33,3890.33,7061,6769,6769,1.73995,1.8,
2_40_3,2,40,82,4056,4056,4056,7309,7268,7268,1.79191,1.8,
2_40_4,2,40,82,3500,3500,3500,6302,6292,6292,1.79771,1.8,
2_40_5,2,40,82,3499.89,3499.89,3499.89,6308,6267,6267,1.79063,1.8,
2_40_6,2,40,82,3956.67,3956.67,3956.67,7164,6954,6954,1.75754,1.8,
2_40_7,2,40,82,3933.33,3933.33,3933.33,7114,6944,6944,1.76542,1.8,
2_40_8,2,40,82,3495.67,3495.67,3495.67,6299,6265,6265,1.79222,1.8,
2_40_9,2,40,82,4277.67,4277.67,4277.67,7714,7643,7643,1.78672,1.8,
2_40_10,2,40,82,4320.89,4320.89,4320.89,7738,7936,7738,1.79084,1.8,
2_40_11,2,40,82,4110.67,4110.67,4110.67,7385,7456,7385,1.79655,1.8,
2_40_12,2,40,82,4263.22,4263.22,4263.22,7716,7505,7505,1.76041,1.8,
2_40_13,2,40,82,4451.56,4451.56,4451.56,8025,7964,7964,1.78904,1.8,
2_40_14,2,40,82,3947.67,3947.67,3947.67,7128,7017,7017,1.77751,1.8,
2_40_15,2,40,82,3623.11,3623.11,3623.11,6516,6544,6516,1.79845,1.8,
2_40_16,2,40,82,4161.78,4161.78,4161.78,7494,7480,7480,1.79731,1.8,
2_40_17,2,40,82,3841.44,3841.44,3841.44,6897,6985,6897,1.79542,1.8,
2_40_18,2,40,82,3424.78,3424.78,3424.78,6187,6075,6075,1.77384,1.8,
2_40_19,2,40,82,3372.56,3372.56,3372.56,6035,6213,6035,1.78944,1.8,
2_40_20,2,40,82,3645.11,3645.11,3645.11,6595,6426,6426,1.76291,1.8,
2_40_21,2,40,82,3644.11,3644.11,3644.11,6579,6481,6481,1.77849,1.8,
2_40_22,2,40,82,3832.44,3832.44,3832.44,6881,6968,6881,1.79546,1.8,
2_40_23,2,40,82,3783.33,3783.33,3783.33,6869,6574,6574,1.73762,1.8,
2_40_24,2,40,82,3290.44,3290.44,3290.44,5954,5798,5798,1.76207,1.8,
2_40_25,2,40,82,3563.78,3563.78,3563.78,6436,6330,6330,1.77621,1.8,
2_40_26,2,40,82,3975.44,3975.44,3975.44,7247,6791,6791,1.70824,1.8,
2_40_27,2,40,82,3589.67,3589.67,3589.67,6480,6387,6387,1.77927,1.8,
2_40_28,2,40,82,3518.78,3518.78,3518.78,6369,6193,6193,1.75999,1.8,
2_40_29,2,40,82,4058.67,4058.67,4058.67,7339,7172,7172,1.76708,1.8,
2_40_30,2,40,82,3860.11,3860.11,3860.11,6992,6773,6773,1.75461,1.8,
2_40_31,2,40,82,3556.89,3556.89,3556.89,6390,6452,6390,1.79651,1.8,
2_40_32,2,40,82,4098.33,4098.33,4098.33,7381,7361,7361,1.7961,1.8,
2_40_33,2,40,82,3984.67,3984.67,3984.67,7252,6854,6854,1.72009,1.8,
2_40_34,2,40,82,3715.78,3715.78,3715.78,6729,6526,6526,1.75629,1.8,
2_40_35,2,40,82,3276.67,3276.67,3276.67,5944,5714,5714,1.74385,1.8,
2_40_36,2,40,82,3608.11,3608.11,3608.11,6470,6593,6470,1.79318,1.8,
2_40_37,2,40,82,3899.22,3899.22,3899.22,6996,7109,6996,1.7942,1.8,
2_40_38,2,40,82,4143,4143,4143,7466,7423,7423,1.7917,1.8,
2_40_39,2,40,82,4102.11,4102.11,4102.11,7365,7459,7365,1.79542,1.8,
2_40_40,2,40,82,4306.78,4306.78,4306.78,7791,7597,7597,1.76396,1.8,
2_40_41,2,40,82,4233.44,4233.44,4233.44,7640,7541,7541,1.78129,1.8,
2_40_42,2,40,82,3719,3719,3719,6779,6355,6355,1.70879,1.8,
2_40_43,2,40,82,4082.22,4082.22,4082.22,7399,7144,7144,1.75003,1.8,
2_40_44,2,40,82,3833.89,3833.89,3833.89,6922,6817,6817,1.77809,1.8,
2_40_45,2,40,82,4093.78,4093.78,4093.78,7433,7112,7112,1.73727,1.8,
2_40_46,2,40,82,3973.11,3973.11,3973.11,7132,7230,7132,1.79507,1.8,
2_40_47,2,40,82,4005.44,4005.44,4005.44,7223,7157,7157,1.78682,1.8,
2_40_48,2,40,82,4084.22,4084.22,4084.22,7432,7030,7030,1.72126,1.8,
2_40_49,2,40,82,4001.33,4001.33,4001.33,7260,6972,6972,1.74242,1.8,
2_40_50,2,40,82,4235.33,4235.33,4235.33,7645,7538,7538,1.77979,1.8,
2_40_51,2,40,82,4010.56,4010.56,4010.56,7209,7259,7209,1.79751,1.8,
2_40_52,2,40,82,3906.44,3906.44,3906.44,7095,6778,6778,1.73508,1.8,
2_40_53,2,40,82,3642,3642,3642,6620,6298,6298,1.72927,1.8,
2_40_54,2,40,82,3875.67,3875.67,3875.67,6982,6953,6953,1.79401,1.8,
2_40_55,2,40,82,4074,4074,4074,7331,7342,7331,1.79946,1.8,
2_40_56,2,40,82,3831.89,3831.89,3831.89,6890,6927,6890,1.79807,1.8,
2_40_57,2,40,82,4301,4301,4301,7743,7737,7737,1.79888,1.8,
2_40_58,2,40,82,3964.89,3964.89,3964.89,7127,7176,7127,1.79753,1.8,
2_40_59,2,40,82,3555.89,3555.89,3555.89,6434,6267,6267,1.76243,1.8,
2_40_60,2,40,82,3636.44,3636.44,3636.44,6541,6564,6541,1.79874,1.8,
2_40_61,2,40,82,3949.56,3949.56,3949.56,7155,6926,6926,1.75362,1.8,
2_40_62,2,40,82,3749.89,3749.89,3749.89,6853,6337,6337,1.68992,1.8,
2_40_63,2,40,82,4006,4006,4006,7238,7102,7102,1.77284,1.8,
2_40_64,2,40,82,3723.89,3723.89,3723.89,6742,6547,6547,1.75811,1.8,
2_40_65,2,40,82,3713.33,3713.33,3713.33,6676,6716,6676,1.79785,1.8,
